label,connectome_type,dataset,n_nodes,n_edges,density,sparsity,mean_weight,max_weight,Q,n_communities,in_degree_cv,out_degree_cv,total_degree_cv,reciprocity,n_reciprocal_pairs,fraction_in_nontrivial_scc,clustering_coefficient,n_triangles
neuropeptide_FLP-17_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-17_EGL-6_RipollSanchez2023_midRange,302,30,0.0003300257420078766,0.9996699742579921,1.0,1.0,0.0,302,4.374166587286466,12.24744871391589,6.464002887788133,0.0,0,0.0,0.0,0
neuropeptide_FLP-4_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-4_EGL-6_RipollSanchez2023_midRange,302,522,0.005742447910937053,0.994257552089063,1.0,1.0,0.12926997548479913,247,4.437109153534001,2.6289165307459643,2.5690005169029613,0.0038314176245210726,1,0.006622516556291391,0.12243047158403869,769
neuropeptide_FLP-5_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-5_EGL-6_RipollSanchez2023_midRange,302,1241,0.013652064861059163,0.9863479351389408,1.0,1.0,0.04621055645774475,202,4.381936185456536,1.5909296441732592,2.3190182644197996,0.009669621273166801,6,0.013245033112582781,0.2641059286651557,3886
neuropeptide_FLP-6_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-6_EGL-6_RipollSanchez2023_midRange,302,438,0.004818375833314998,0.995181624166685,1.0,1.0,0.06880590479764806,259,4.389327448535843,2.9761743022909846,2.685917565025802,0.0045662100456621,1,0.006622516556291391,0.1349587912087912,743
neuropeptide_FLP-9_EGL-6_RipollSanchez2023_midRange,neuropeptide,FLP-9_EGL-6_RipollSanchez2023_midRange,302,1697,0.018668456139578887,0.9813315438604211,1.0,1.0,0.15645898738423272,158,4.471823844408959,1.1727602315769579,2.3767961037031675,0.05303476723629935,45,0.033112582781456956,0.6560083993509592,8957
neuropeptide_FLP-8_FRPR-15_RipollSanchez2023_midRange,neuropeptide,FLP-8_FRPR-15_RipollSanchez2023_midRange,302,210,0.0023101801940551363,0.9976898198059448,1.0,1.0,0.07800453514739221,246,2.220457349061735,8.256242055549157,4.215921124701602,0.0,0,0.0,0.0,0
neuropeptide_FLP-3_FRPR-16_RipollSanchez2023_midRange,neuropeptide,FLP-3_FRPR-16_RipollSanchez2023_midRange,302,851,0.009361730214956766,0.9906382697850432,1.0,1.0,0.26445696705748817,214,1.8524521797293705,4.2578820245571025,2.2113987888455684,0.0,0,0.0,0.0,0
neuropeptide_FLP-2_FRPR-18_RipollSanchez2023_midRange,neuropeptide,FLP-2_FRPR-18_RipollSanchez2023_midRange,302,1028,0.011308882092803238,0.9886911179071968,1.0,1.0,0.07071643779618159,241,2.8945617873473086,2.7984851301650853,2.0443793702843793,0.021400778210116732,11,0.019867549668874173,0.13582808943633687,3581
neuropeptide_FLP-14_FRPR-19_RipollSanchez2023_midRange,neuropeptide,FLP-14_FRPR-19_RipollSanchez2023_midRange,302,1273,0.014004092319200898,0.9859959076807991,1.0,1.0,0.19755894525799908,222,2.098090894375999,3.229485659602442,1.8956934555161762,0.010997643362136685,7,0.019867549668874173,0.06690199473841953,3659
neuropeptide_FLP-8_FRPR-19_RipollSanchez2023_midRange,neuropeptide,FLP-8_FRPR-19_RipollSanchez2023_midRange,302,159,0.001749136432641746,0.9982508635673583,1.0,1.0,0.2550532020094142,242,2.4906375061215256,7.717052892389306,3.992373370904625,0.0,0,0.0,0.0,0
neuropeptide_FLP-20_FRPR-3_RipollSanchez2023_midRange,neuropeptide,FLP-20_FRPR-3_RipollSanchez2023_midRange,302,269,0.0029592308200039603,0.9970407691799961,1.0,1.0,0.17081024308674564,267,3.9515539575112393,3.9852081360613503,2.774833348996417,0.0,0,0.0,0.0413135593220339,156
neuropeptide_FLP-33_FRPR-6_RipollSanchez2023_midRange,neuropeptide,FLP-33_FRPR-6_RipollSanchez2023_midRange,302,48,0.0005280411872126026,0.9994719588127874,1.0,1.0,0.22222222222222215,280,3.972125095937662,10.394977419675119,5.518906896599483,0.0,0,0.0,0.0,0
neuropeptide_FLP-1_FRPR-7_RipollSanchez2023_midRange,neuropeptide,FLP-1_FRPR-7_RipollSanchez2023_midRange,302,120,0.0013201029680315064,0.9986798970319685,1.0,1.0,0.0,302,2.008316044185609,12.24744871391589,6.165089888503925,0.0,0,0.0,0.0,0
neuropeptide_FLP-10_FRPR-8_RipollSanchez2023_midRange,neuropeptide,FLP-10_FRPR-8_RipollSanchez2023_midRange,302,129,0.0014191106906338694,0.9985808893093662,1.0,1.0,0.21705426356589147,277,4.793061557731985,4.6116734488988795,3.477606125817606,0.0,0,0.0,0.09380692167577413,103
neuropeptide_FLP-11_FRPR-8_RipollSanchez2023_midRange,neuropeptide,FLP-11_FRPR-8_RipollSanchez2023_midRange,302,570,0.006270489098149656,0.9937295109018504,1.0,1.0,0.19204678362573097,239,4.722406854609383,2.19559423419799,2.611161731760813,0.010526315789473684,3,0.009933774834437087,0.17006324666198172,870
neuropeptide_FLP-12_FRPR-8_RipollSanchez2023_midRange,neuropeptide,FLP-12_FRPR-8_RipollSanchez2023_midRange,302,259,0.002849222239334668,0.9971507777606653,1.0,1.0,0.12745784946557145,268,4.589596905559294,3.6768212257280246,2.8540941680979786,0.0,0,0.0,0.0,0
