SMDVR,ggr-2,ggr-1,acr-15,acr-16,glr-1,glr-4,glr-5,acc-1,lgc-38,gab-1,lgc-37,lgc-47,
URADL,glr-5,glr-4,lgc-38,ggr-2,,,,,,,,,
URADR,glr-5,glr-4,lgc-38,ggr-2,,,,,,,,,
URAVL,glr-5,glr-4,lgc-38,ggr-2,,,,,,,,,
URAVR,glr-5,glr-4,lgc-38,ggr-2,,,,,,,,,
URBL,glr-5,glr-8,lgc-38,acr-11,ggr-2,,,,,,,,
URBR,glr-5,glr-8,lgc-38,acr-11,ggr-2,,,,,,,,
URXL,acc-2,lgc-38,,,,,,,,,,,
URXR,acc-2,lgc-38,,,,,,,,,,,
URYDL,glr-1,glr-4,glr-5,lgc-38,,,,,,,,,
URYDR,glr-1,glr-4,glr-5,lgc-38,,,,,,,,,
URYVL,glr-1,glr-4,glr-5,lgc-38,,,,,,,,,
URYVR,glr-1,glr-4,glr-5,lgc-38,,,,,,,,,
VA01,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA02,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA03,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA04,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA05,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA06,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA07,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA08,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA09,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA10,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA11,acr-2,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,,
VA12,acr-2,avr-15,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,,,,
VB01,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB02,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB03,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB04,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB05,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB06,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB07,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB08,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB09,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB10,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VB11,unc-63,acr-2,glr-4,acr-5,acr-14,lgc-38,lgc-36,lgc-35,gab-1,lgc-37,,,
VC01,unc-63,glr-5,gab-1,lgc-37,ggr-2,,,,,,,,
VC02,unc-63,glr-5,gab-1,lgc-37,ggr-2,,,,,,,,
VC03,unc-63,glr-5,gab-1,lgc-37,ggr-2,,,,,,,,
VC04,unc-63,glr-5,acr-14,gab-1,lgc-37,,,,,,,,
VC05,unc-63,glr-5,acr-14,gab-1,lgc-37,,,,,,,,
VC06,unc-63,glr-5,gab-1,lgc-37,ggr-2,,,,,,,,
VD01,acr-12,,unc-63,,,,,,,,,,
VD02,acr-12,,unc-63,,,,,,,,,,
VD03,acr-12,,unc-63,,,,,,,,,,
VD04,acr-12,,unc-63,,,,,,,,,,
VD05,acr-12,,unc-63,,,,,,,,,,
VD06,acr-12,,unc-63,,,,,,,,,,
VD07,acr-12,,unc-63,,,,,,,,,,
VD08,acr-12,,unc-63,,,,,,,,,,
VD09,acr-12,,unc-63,,,,,,,,,,
VD10,acr-12,,unc-63,,,,,,,,,,
VD11,acr-12,,unc-63,,,,,,,,,,
VD12,acr-12,,unc-63,,,,,,,,,,
VD13,acr-12,,unc-63,,,,,,,,,,
