neuronID,gab-1,lgc-37,lgc-38,lgc-36,exp-1,lgc-35,unc-49,gbb-1,gbb-2,ggr-1,ggr-2,ggr-3
VC05,1,1,0,0,0,0,0,1,0,0,0,0
VC06,1,1,0,0,0,0,0,1,1,0,0,0
VD01,0,0,0,0,0,0,0,1,1,0,0,0
VD02,0,0,0,0,0,0,0,1,0,0,0,0
VD03,0,0,0,0,0,0,0,1,0,0,0,0
VD04,0,0,0,0,0,0,0,1,0,0,0,0
VD05,0,0,0,0,0,0,0,1,0,0,0,0
VD06,0,0,0,0,0,0,0,1,0,0,0,0
VD07,0,0,0,0,0,0,0,1,0,0,0,0
VD08,0,0,0,0,0,0,0,1,0,0,0,0
VD09,0,0,0,0,0,0,0,1,0,0,0,0
VD10,0,0,0,0,0,0,0,1,0,0,0,0
VD11,0,0,0,0,0,0,0,1,0,0,0,0
VD12,0,0,0,0,0,0,0,1,0,0,0,0
VD13,0,0,0,0,0,0,0,1,0,0,0,0
